,genus_minimum_score_cutoff
Caudoviricetes,0.65
Leviviricetes,0.35
Monjiviricetes,0.35
Pisoniviricetes,0.25
Others,0.2
Ellioviricetes,0.25
Repensiviricetes,0.35
Alsuviricetes,0.3
Arfiviricetes,0.2
Papovaviricetes,0.4
Stelpaviricetes,0.35
Quintoviricetes,0.2
Revtraviricetes,0.2
Miaviricetes,0.2
Duplopiviricetes,0.2
Flasuviricetes,0.2
Herviviricetes,0.3
Tectiliviricetes,0.25
Naldaviricetes,0.2
Howeltoviricetes,0.2
Chrymotiviricetes,0.2
Megaviricetes,0.35
Pokkesviricetes,0.65
Tolucaviricetes,0.4
Faserviricetes,0.35
Resentoviricetes,0.2
Tokiviricetes,0.55
Malgrandaviricetes,0.5
Magsaviricetes,0.2
Insthoviricetes,0.2
Huolimaviricetes,0.2
Laserviricetes,0.2
Amabiliviricetes,0.2
Vidaverviricetes,0.2
Chunqiuviricetes,0.2
Maveriviricetes,0.2
Yunchangviricetes,0.2
Mouviricetes,0.2
Milneviricetes,0.2
